measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,East Asia & Pacific - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.004355489,0.005574785,0.003579575
Deaths,East Asia & Pacific - WB,Female,25 to 29,Alcohol use disorders,Percent,1990,0.002316023,0.002622133,0.002052042
Deaths,East Asia & Pacific - WB,Male,30 to 34,Alcohol use disorders,Percent,1990,0.006539015,0.007974114,0.005392593
Deaths,East Asia & Pacific - WB,Female,30 to 34,Alcohol use disorders,Percent,1990,0.002667792,0.002950154,0.00241772
Deaths,East Asia & Pacific - WB,Male,35 to 39,Alcohol use disorders,Percent,1990,0.007597508,0.01058577,0.00635921
Deaths,East Asia & Pacific - WB,Female,35 to 39,Alcohol use disorders,Percent,1990,0.002744876,0.003049935,0.002468063
Deaths,East Asia & Pacific - WB,Male,40 to 44,Alcohol use disorders,Percent,1990,0.007306915,0.010301147,0.006256597
Deaths,East Asia & Pacific - WB,Female,40 to 44,Alcohol use disorders,Percent,1990,0.002149169,0.002366949,0.001944697
Deaths,East Asia & Pacific - WB,Male,45 to 49,Alcohol use disorders,Percent,1990,0.006104889,0.00787897,0.005236815
Deaths,East Asia & Pacific - WB,Female,45 to 49,Alcohol use disorders,Percent,1990,0.001502413,0.001657062,0.001357502
Deaths,East Asia & Pacific - WB,Male,50 to 54,Alcohol use disorders,Percent,1990,0.004056909,0.005378483,0.003507955
Deaths,East Asia & Pacific - WB,Female,50 to 54,Alcohol use disorders,Percent,1990,0.001050523,0.001161284,0.000955672
Deaths,East Asia & Pacific - WB,Male,55 to 59,Alcohol use disorders,Percent,1990,0.002700133,0.003485574,0.002361886
Deaths,East Asia & Pacific - WB,Female,55 to 59,Alcohol use disorders,Percent,1990,0.000711915,0.000781314,0.000648101
Deaths,East Asia & Pacific - WB,Male,60 to 64,Alcohol use disorders,Percent,1990,0.001621216,0.002122551,0.001429555
Deaths,East Asia & Pacific - WB,Female,60 to 64,Alcohol use disorders,Percent,1990,0.000456453,0.000511058,0.000415943
Deaths,East Asia & Pacific - WB,Male,65 to 69,Alcohol use disorders,Percent,1990,0.000938762,0.001277539,0.000827014
Deaths,East Asia & Pacific - WB,Female,65 to 69,Alcohol use disorders,Percent,1990,0.00035694,0.000404683,0.000324657
Deaths,East Asia & Pacific - WB,Male,25 to 29,Opioid use disorders,Percent,1990,0.006830558,0.008145138,0.005435397
Deaths,East Asia & Pacific - WB,Female,25 to 29,Opioid use disorders,Percent,1990,0.007066221,0.008639856,0.005547256
Deaths,East Asia & Pacific - WB,Male,30 to 34,Opioid use disorders,Percent,1990,0.008839858,0.010518747,0.007262845
Deaths,East Asia & Pacific - WB,Female,30 to 34,Opioid use disorders,Percent,1990,0.008270747,0.00985914,0.006897937
Deaths,East Asia & Pacific - WB,Male,35 to 39,Opioid use disorders,Percent,1990,0.006745078,0.007984643,0.005665263
Deaths,East Asia & Pacific - WB,Female,35 to 39,Opioid use disorders,Percent,1990,0.007136119,0.008415994,0.006060255
Deaths,East Asia & Pacific - WB,Male,40 to 44,Opioid use disorders,Percent,1990,0.004933675,0.005711136,0.004093552
Deaths,East Asia & Pacific - WB,Female,40 to 44,Opioid use disorders,Percent,1990,0.004075393,0.004825805,0.003436197
Deaths,East Asia & Pacific - WB,Male,45 to 49,Opioid use disorders,Percent,1990,0.003022176,0.003584127,0.002497272
Deaths,East Asia & Pacific - WB,Female,45 to 49,Opioid use disorders,Percent,1990,0.002349694,0.002821749,0.00196106
Deaths,East Asia & Pacific - WB,Male,50 to 54,Opioid use disorders,Percent,1990,0.002098494,0.002443015,0.001791462
Deaths,East Asia & Pacific - WB,Female,50 to 54,Opioid use disorders,Percent,1990,0.001438595,0.001668587,0.001230439
Deaths,East Asia & Pacific - WB,Male,55 to 59,Opioid use disorders,Percent,1990,0.001204839,0.001429422,0.001019433
Deaths,East Asia & Pacific - WB,Female,55 to 59,Opioid use disorders,Percent,1990,0.001119381,0.001304507,0.000948497
Deaths,East Asia & Pacific - WB,Male,60 to 64,Opioid use disorders,Percent,1990,0.000781208,0.000913669,0.000665549
Deaths,East Asia & Pacific - WB,Female,60 to 64,Opioid use disorders,Percent,1990,0.000814305,0.000959627,0.000681007
Deaths,East Asia & Pacific - WB,Male,65 to 69,Opioid use disorders,Percent,1990,0.000543723,0.000643016,0.000458604
Deaths,East Asia & Pacific - WB,Female,65 to 69,Opioid use disorders,Percent,1990,0.00066123,0.000793373,0.000552454
Deaths,North America,Male,25 to 29,Alcohol use disorders,Percent,1990,0.007396857,0.007863517,0.006954928
Deaths,North America,Female,25 to 29,Alcohol use disorders,Percent,1990,0.006751267,0.00724549,0.006284323
Deaths,North America,Male,30 to 34,Alcohol use disorders,Percent,1990,0.013052972,0.013690227,0.012417024
Deaths,North America,Female,30 to 34,Alcohol use disorders,Percent,1990,0.010562111,0.011298336,0.009961443
Deaths,North America,Male,35 to 39,Alcohol use disorders,Percent,1990,0.018787308,0.01963988,0.017929761
Deaths,North America,Female,35 to 39,Alcohol use disorders,Percent,1990,0.012438405,0.01316026,0.011707061
Deaths,North America,Male,40 to 44,Alcohol use disorders,Percent,1990,0.020539722,0.02147915,0.019545035
Deaths,North America,Female,40 to 44,Alcohol use disorders,Percent,1990,0.011666284,0.012398925,0.010879331
Deaths,North America,Male,45 to 49,Alcohol use disorders,Percent,1990,0.018790868,0.019606156,0.017948404
Deaths,North America,Female,45 to 49,Alcohol use disorders,Percent,1990,0.009179678,0.009742048,0.008601564
Deaths,North America,Male,50 to 54,Alcohol use disorders,Percent,1990,0.014021357,0.014582648,0.013427844
Deaths,North America,Female,50 to 54,Alcohol use disorders,Percent,1990,0.00653317,0.006878792,0.006186616
Deaths,North America,Male,55 to 59,Alcohol use disorders,Percent,1990,0.009896402,0.010265374,0.009511111
Deaths,North America,Female,55 to 59,Alcohol use disorders,Percent,1990,0.004310297,0.004530882,0.00409533
Deaths,North America,Male,60 to 64,Alcohol use disorders,Percent,1990,0.006722021,0.006980176,0.006458281
Deaths,North America,Female,60 to 64,Alcohol use disorders,Percent,1990,0.002773716,0.002919005,0.002629857
Deaths,North America,Male,65 to 69,Alcohol use disorders,Percent,1990,0.00425932,0.004440752,0.00409542
Deaths,North America,Female,65 to 69,Alcohol use disorders,Percent,1990,0.001710619,0.001814312,0.001605463
Deaths,North America,Male,25 to 29,Opioid use disorders,Percent,1990,0.025582364,0.028738304,0.022932187
Deaths,North America,Female,25 to 29,Opioid use disorders,Percent,1990,0.022018605,0.024036204,0.020212603
Deaths,North America,Male,30 to 34,Opioid use disorders,Percent,1990,0.027860037,0.030631138,0.025291509
Deaths,North America,Female,30 to 34,Opioid use disorders,Percent,1990,0.02080792,0.022438373,0.01915898
Deaths,North America,Male,35 to 39,Opioid use disorders,Percent,1990,0.02462873,0.027278703,0.022415207
Deaths,North America,Female,35 to 39,Opioid use disorders,Percent,1990,0.016672118,0.018206385,0.01520723
Deaths,North America,Male,40 to 44,Opioid use disorders,Percent,1990,0.015381164,0.017150243,0.013917195
Deaths,North America,Female,40 to 44,Opioid use disorders,Percent,1990,0.009710516,0.010658867,0.008904255
Deaths,North America,Male,45 to 49,Opioid use disorders,Percent,1990,0.006822928,0.007721631,0.006057583
Deaths,North America,Female,45 to 49,Opioid use disorders,Percent,1990,0.004931619,0.005441436,0.004501593
Deaths,North America,Male,50 to 54,Opioid use disorders,Percent,1990,0.002629559,0.002926983,0.002380865
Deaths,North America,Female,50 to 54,Opioid use disorders,Percent,1990,0.002534773,0.002751166,0.002327406
Deaths,North America,Male,55 to 59,Opioid use disorders,Percent,1990,0.001137706,0.001261406,0.0010267
Deaths,North America,Female,55 to 59,Opioid use disorders,Percent,1990,0.001357836,0.001471491,0.001251335
Deaths,North America,Male,60 to 64,Opioid use disorders,Percent,1990,0.000530761,0.000577098,0.000486147
Deaths,North America,Female,60 to 64,Opioid use disorders,Percent,1990,0.00073908,0.000797839,0.000684297
Deaths,North America,Male,65 to 69,Opioid use disorders,Percent,1990,0.00031991,0.000343779,0.000297434
Deaths,North America,Female,65 to 69,Opioid use disorders,Percent,1990,0.000459692,0.000489967,0.000431307
Deaths,Middle East & North Africa - WB,Male,25 to 29,Alcohol use disorders,Percent,1991,0.001917594,0.002378228,0.001109997
Deaths,Middle East & North Africa - WB,Female,25 to 29,Alcohol use disorders,Percent,1991,0.000900602,0.001039829,0.00078492
Deaths,Middle East & North Africa - WB,Male,30 to 34,Alcohol use disorders,Percent,1991,0.002682152,0.003357178,0.001839771
Deaths,Middle East & North Africa - WB,Female,30 to 34,Alcohol use disorders,Percent,1991,0.000941925,0.001087632,0.000823315
Deaths,Middle East & North Africa - WB,Male,35 to 39,Alcohol use disorders,Percent,1991,0.002915954,0.003609318,0.00201159
Deaths,Middle East & North Africa - WB,Female,35 to 39,Alcohol use disorders,Percent,1991,0.000908055,0.001068613,0.000782543
Deaths,Middle East & North Africa - WB,Male,40 to 44,Alcohol use disorders,Percent,1991,0.002827561,0.003543403,0.002120689
Deaths,Middle East & North Africa - WB,Female,40 to 44,Alcohol use disorders,Percent,1991,0.000783599,0.000922009,0.000676806
Deaths,Middle East & North Africa - WB,Male,45 to 49,Alcohol use disorders,Percent,1991,0.002359611,0.002868674,0.001794922
Deaths,Middle East & North Africa - WB,Female,45 to 49,Alcohol use disorders,Percent,1991,0.000485001,0.000562365,0.000419046
Deaths,Middle East & North Africa - WB,Male,50 to 54,Alcohol use disorders,Percent,1991,0.001490446,0.001769176,0.001165652
Deaths,Middle East & North Africa - WB,Female,50 to 54,Alcohol use disorders,Percent,1991,0.000320743,0.000376265,0.000276724
Deaths,Middle East & North Africa - WB,Male,55 to 59,Alcohol use disorders,Percent,1991,0.001082439,0.001287996,0.000862718
Deaths,Middle East & North Africa - WB,Female,55 to 59,Alcohol use disorders,Percent,1991,0.000226925,0.000260786,0.000193079
Deaths,Middle East & North Africa - WB,Male,60 to 64,Alcohol use disorders,Percent,1991,0.000726225,0.000860662,0.000573438
Deaths,Middle East & North Africa - WB,Female,60 to 64,Alcohol use disorders,Percent,1991,0.000159148,0.000180865,0.000133763
Deaths,Middle East & North Africa - WB,Male,65 to 69,Alcohol use disorders,Percent,1991,0.000454693,0.000539518,0.000364122
Deaths,Middle East & North Africa - WB,Female,65 to 69,Alcohol use disorders,Percent,1991,0.000120982,0.000140083,9.63E-05
Deaths,Middle East & North Africa - WB,Male,25 to 29,Opioid use disorders,Percent,1991,0.008238808,0.010309836,0.006464279
Deaths,Middle East & North Africa - WB,Female,25 to 29,Opioid use disorders,Percent,1991,0.00464541,0.005716829,0.00378126
Deaths,Middle East & North Africa - WB,Male,30 to 34,Opioid use disorders,Percent,1991,0.007045198,0.008815339,0.005323053
Deaths,Middle East & North Africa - WB,Female,30 to 34,Opioid use disorders,Percent,1991,0.004176275,0.005090174,0.003376114
Deaths,Middle East & North Africa - WB,Male,35 to 39,Opioid use disorders,Percent,1991,0.005874366,0.007412543,0.004532334
Deaths,Middle East & North Africa - WB,Female,35 to 39,Opioid use disorders,Percent,1991,0.003148748,0.003965866,0.002497823
Deaths,Middle East & North Africa - WB,Male,40 to 44,Opioid use disorders,Percent,1991,0.004866421,0.005845707,0.003881496
Deaths,Middle East & North Africa - WB,Female,40 to 44,Opioid use disorders,Percent,1991,0.002288577,0.002888315,0.001877716
Deaths,Middle East & North Africa - WB,Male,45 to 49,Opioid use disorders,Percent,1991,0.00239491,0.002999343,0.001897097
Deaths,Middle East & North Africa - WB,Female,45 to 49,Opioid use disorders,Percent,1991,0.001542511,0.002001076,0.001187898
Deaths,Middle East & North Africa - WB,Male,50 to 54,Opioid use disorders,Percent,1991,0.001344747,0.001665978,0.001070328
Deaths,Middle East & North Africa - WB,Female,50 to 54,Opioid use disorders,Percent,1991,0.000895156,0.001091176,0.00071593
Deaths,Middle East & North Africa - WB,Male,55 to 59,Opioid use disorders,Percent,1991,0.000860797,0.001080326,0.000685501
Deaths,Middle East & North Africa - WB,Female,55 to 59,Opioid use disorders,Percent,1991,0.000610703,0.000760654,0.000428532
Deaths,Middle East & North Africa - WB,Male,60 to 64,Opioid use disorders,Percent,1991,0.000536075,0.000708144,0.000437095
Deaths,Middle East & North Africa - WB,Female,60 to 64,Opioid use disorders,Percent,1991,0.000355309,0.000460287,0.000245713
Deaths,Middle East & North Africa - WB,Male,65 to 69,Opioid use disorders,Percent,1991,0.000323012,0.000437678,0.000265351
Deaths,Middle East & North Africa - WB,Female,65 to 69,Opioid use disorders,Percent,1991,0.000313195,0.000409751,0.00018633
Deaths,Europe & Central Asia - WB,Male,25 to 29,Alcohol use disorders,Percent,1990,0.029444301,0.030948303,0.027445382
